Dataline	qPCRFile	Well	Well Position	Sample Name	Target Name	CT	Ct Mean	Ct SD	CopyN	LogCopyN	CT_jmp	HighestSTD	qPCRefficiency	rsquare	slope	DroppedDatapoints	StdEquation	SampleNumber	Category	Cat.Target	TechnicalRep	BioRep	RxnLogCopy	 InputSampleVolume(uL) 	ElutionVolume(uL)	MilkEquivalentDNAuL	CopiesperuLDNA	CopiespermLofMilk	LogCopiespermLofMilk
91	2019-01-15Total16SHostDNADepletion	75	G3	23-NTC-2.B2	Total16S	27.655	27.519	0.193			27.655	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	23	NTC	NTC.Bacteria	2	B2	4.226721258	400	100	4	8427.354477	2106838.619	6.323631271
92	2019-01-15Total16SHostDNADepletion	76	G4	23-NTC-2.B2	Total16S	27.383	27.519	0.193			27.383	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	23	NTC	NTC.Bacteria	2	B2	4.28195548	400	100	4	9570.29852	2392574.63	6.378865493
93	2019-01-15Total16SHostDNADepletion	87	H3	24-NTC-3.B2	Total16S	26.489	26.627	0.196			26.489	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	24	NTC	NTC.Bacteria	3	B2	4.462938707	400	100	4	14518.06415	3629516.038	6.55984872
94	2019-01-15Total16SHostDNADepletion	88	H4	24-NTC-3.B2	Total16S	26.766	26.627	0.196			26.766	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	24	NTC	NTC.Bacteria	3	B2	4.406858375	400	100	4	12759.34496	3189836.239	6.503768388
95	2019-01-15Total16SHostDNADepletion	5	A5	26-NEB-2.B2	Total16S	28.662	28.632	0.042			28.662	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	26	NEB	NEB.Bacteria	2	B2	4.022910841	200	50	4	5270.852287	1317713.072	6.119820854
96	2019-01-15Total16SHostDNADepletion	6	A6	26-NEB-2.B2	Total16S	28.602	28.632	0.042			28.602	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	26	NEB	NEB.Bacteria	2	B2	4.03499194	200	50	4	5419.533984	1354883.496	6.131901953
97	2019-01-15Total16SHostDNADepletion	17	B5	27-NEB-3.B2	Total16S	29.235	29.273	0.054			29.235	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	27	NEB	NEB.Bacteria	3	B2	3.906890358	200	50	4	4035.156305	1008789.076	6.003800371
98	2019-01-15Total16SHostDNADepletion	18	B6	27-NEB-3.B2	Total16S	29.312	29.273	0.054			29.312	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	27	NEB	NEB.Bacteria	3	B2	3.891353379	200	50	4	3893.349431	973337.3579	5.988263392
99	2019-01-15Total16SHostDNADepletion	3	A3	2-NTC-2.B1	Total16S	28.422	28.245	0.251			28.422	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	2	NTC	NTC.Bacteria	2	B1	4.071449562	400	100	4	5894.128045	1473532.011	6.168359575
100	2019-01-15Total16SHostDNADepletion	4	A4	2-NTC-2.B1	Total16S	28.067	28.245	0.251			28.067	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	2	NTC	NTC.Bacteria	2	B1	4.143425629	400	100	4	6956.577591	1739144.398	6.240335642
101	2019-01-15Total16SHostDNADepletion	29	C5	35-20uM-2.B2	Total16S	32.503	32.507	0.005			32.503	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	35	20uM	PMA.Bacteria	2	B2	3.245227783	400	100	4	879.4229344	219855.7336	5.342137796
102	2019-01-15Total16SHostDNADepletion	30	C6	35-20uM-2.B2	Total16S	32.51	32.507	0.005			32.51	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	35	20uM	PMA.Bacteria	2	B2	3.243822878	400	100	4	876.5826747	219145.6687	5.340732891
103	2019-01-15Total16SHostDNADepletion	15	B3	3-NTC-3.B1	Total16S	28.605	28.597	0.011			28.605	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	3	NTC	NTC.Bacteria	3	B1	4.034526213	400	100	4	5413.72532	1353431.33	6.131436226
104	2019-01-15Total16SHostDNADepletion	16	B4	3-NTC-3.B1	Total16S	28.588	28.597	0.011			28.588	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	3	NTC	NTC.Bacteria	3	B1	4.037804066	400	100	4	5454.740194	1363685.048	6.134714079
105	2019-01-15Total16SHostDNADepletion	41	D5	40-20uM-3.B2	Total16S	32.285	32.615	0.467			32.285	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	40	20uM	PMA.Bacteria	3	B2	3.28935291	400	100	4	973.4707666	243367.6916	5.386262923
106	2019-01-15Total16SHostDNADepletion	42	D6	40-20uM-3.B2	Total16S	32.945	32.615	0.467			32.945	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	40	20uM	PMA.Bacteria	3	B2	3.15576494	400	100	4	715.7064717	178926.6179	5.252674953
107	2019-01-15Total16SHostDNADepletion	53	E5	44-NTC-2.B3	Total16S	28.823	29.016	0.274			28.823	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	44	NTC	NTC.Bacteria	2	B3	3.990347794	400	100	4	4890.100649	1222525.162	6.087257807
108	2019-01-15Total16SHostDNADepletion	54	E6	44-NTC-2.B3	Total16S	29.21	29.016	0.274			29.21	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	44	NTC	NTC.Bacteria	2	B3	3.911965856	400	100	4	4082.590871	1020647.718	6.008875869
109	2019-01-15Total16SHostDNADepletion	65	F5	45-NTC-3.B3	Total16S	30.004	30.058	0.076			30.004	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	45	NTC	NTC.Bacteria	3	B3	3.751145598	400	100	4	2819.133239	704783.3099	5.848055611
110	2019-01-15Total16SHostDNADepletion	66	F6	45-NTC-3.B3	Total16S	30.112	30.058	0.076			30.112	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	45	NTC	NTC.Bacteria	3	B3	3.729402015	400	100	4	2681.4643	670366.0751	5.826312028
111	2019-01-15Total16SHostDNADepletion	77	G5	47-NEB-2.B3	Total16S	29.541	29.606	0.091			29.541	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	47	NEB	NEB.Bacteria	2	B3	3.84489537	200	50	4	3498.36705	874591.7625	5.941805383
112	2019-01-15Total16SHostDNADepletion	78	G6	47-NEB-2.B3	Total16S	29.67	29.606	0.091			29.67	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	47	NEB	NEB.Bacteria	2	B3	3.818802684	200	50	4	3294.372381	823593.0952	5.915712697
113	2019-01-15Total16SHostDNADepletion	89	H5	48-NEB-3.B3	Total16S	29.747	29.683	0.091			29.747	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	48	NEB	NEB.Bacteria	3	B3	3.80318345	200	50	4	3177.996793	794499.1982	5.900093463
114	2019-01-15Total16SHostDNADepletion	90	H6	48-NEB-3.B3	Total16S	29.619	29.683	0.091			29.619	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	48	NEB	NEB.Bacteria	3	B3	3.829257986	200	50	4	3374.644196	843661.049	5.926167999
115	2019-01-15Total16SHostDNADepletion	27	C3	4-NEB-1.B1	Total16S	29.334	29.315	0.027			29.334	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	4	NEB	NEB.Bacteria	1	B1	3.886960253	200	50	4	3854.16459	963541.1476	5.983870266
116	2019-01-15Total16SHostDNADepletion	28	C4	4-NEB-1.B1	Total16S	29.296	29.315	0.027			29.296	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	4	NEB	NEB.Bacteria	1	B1	3.894570989	200	50	4	3922.301679	980575.4196	5.991481002
117	2019-01-15Total16SHostDNADepletion	7	A7	56-20uM-2.B3	Total16S	33.268	33.488	0.311			33.268	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	56	20uM	PMA.Bacteria	2	B3	3.090375473	400	100	4	615.6664357	153916.6089	5.187285486
118	2019-01-15Total16SHostDNADepletion	8	A8	56-20uM-2.B3	Total16S	33.708	33.488	0.311			33.708	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	56	20uM	PMA.Bacteria	2	B3	3.001348236	400	100	4	501.5546257	125388.6564	5.098258249
119	2019-01-15Total16SHostDNADepletion	19	B7	61-20uM-3.B3	Total16S	32.83	32.909	0.112			32.83	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	61	20uM	PMA.Bacteria	3	B3	3.179007268	400	100	4	755.0527128	188763.1782	5.275917281
120	2019-01-15Total16SHostDNADepletion	20	B8	61-20uM-3.B3	Total16S	32.989	32.909	0.112			32.989	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	61	20uM	PMA.Bacteria	3	B3	3.146924622	400	100	4	701.2851238	175321.2809	5.243834635
121	2019-01-15Total16SHostDNADepletion	39	D3	6-NEB-3.B1	Total16S	29.248	29.152	0.136			29.248	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	6	NEB	NEB.Bacteria	3	B1	3.904304916	200	50	4	4011.205579	1002801.395	6.001214929
122	2019-01-15Total16SHostDNADepletion	40	D4	6-NEB-3.B1	Total16S	29.056	29.152	0.136			29.056	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	6	NEB	NEB.Bacteria	3	B1	3.94318347	200	50	4	4386.856962	1096714.24	6.040093483
123	2019-01-15Total16SHostDNADepletion	31	C7	70-Qia-1.B1	Total16S	31.605	31.463	0.2			31.605	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	70	Qia	Qia.Bacteria	1	B1	3.427113887	1000	50	20	1336.853726	66842.68632	4.825053895
124	2019-01-15Total16SHostDNADepletion	32	C8	70-Qia-1.B1	Total16S	31.321	31.463	0.2			31.321	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	70	Qia	Qia.Bacteria	1	B1	3.48449949	1000	50	20	1525.701224	76285.06119	4.882439499
125	2019-01-15Total16SHostDNADepletion	43	D7	71-Qia-2.B1	Total16S	31.55	31.1	0.637			31.55	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	71	Qia	Qia.Bacteria	2	B1	3.438174711	1000	50	20	1371.338646	68566.93229	4.836114719
126	2019-01-15Total16SHostDNADepletion	44	D8	71-Qia-2.B1	Total16S	30.65	31.1	0.637			30.65	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	71	Qia	Qia.Bacteria	2	B1	3.620479042	1000	50	20	2086.647293	104332.3646	5.018419051
127	2019-01-15Total16SHostDNADepletion	55	E7	74-Qia-5.B2	Total16S	29.908	29.989	0.114			29.908	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	74	Qia	Qia.Bacteria	5	B2	3.770549733	1000	50	20	2947.947446	147397.3723	5.168489741
128	2019-01-15Total16SHostDNADepletion	56	E8	74-Qia-5.B2	Total16S	30.069	29.989	0.114			30.069	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	74	Qia	Qia.Bacteria	5	B2	3.737987844	1000	50	20	2735.003258	136750.1629	5.135927852
129	2019-01-15Total16SHostDNADepletion	67	F7	75-Qia-6.B2	Total16S	30.802	31.291	0.691			30.802	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	75	Qia	Qia.Bacteria	6	B2	3.589664981	1000	50	20	1943.725737	97186.28683	4.987604989
130	2019-01-15Total16SHostDNADepletion	68	F8	75-Qia-6.B2	Total16S	31.78	31.291	0.691			31.78	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	75	Qia	Qia.Bacteria	6	B2	3.391700868	1000	50	20	1232.170685	61608.53423	4.789640876
131	2019-01-15Total16SHostDNADepletion	79	G7	76-Qia-7.B3	Total16S	29.34	29.588	0.35			29.34	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	76	Qia	Qia.Bacteria	7	B3	3.885593193	1000	50	20	3842.051638	192102.5819	5.283533202
132	2019-01-15Total16SHostDNADepletion	80	G8	76-Qia-7.B3	Total16S	29.835	29.588	0.35			29.835	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	76	Qia	Qia.Bacteria	7	B3	3.78547501	1000	50	20	3051.019717	152550.9858	5.183415019
133	2019-01-15Total16SHostDNADepletion	91	H7	77-Qia-8.B3	Total16S	29.538	29.642	0.147			29.538	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	77	Qia	Qia.Bacteria	8	B3	3.845480425	1000	50	20	3503.083013	175154.1506	5.243420433
134	2019-01-15Total16SHostDNADepletion	92	H8	77-Qia-8.B3	Total16S	29.746	29.642	0.147			29.746	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	77	Qia	Qia.Bacteria	8	B3	3.803446049	1000	50	20	3179.91897	158995.9485	5.201386058
135	2019-01-15Total16SHostDNADepletion	9	A9	79-Molz-1.B1	Total16S	Undetermined	36.885					1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	79	Molz	Molz.Bacteria	1	B1		1000	100	10			
136	2019-01-15Total16SHostDNADepletion	10	A10	79-Molz-1.B1	Total16S	36.885	36.885				36.885	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	79	Molz	Molz.Bacteria	1	B1	2.357969888	1000	100	10	114.0091985	11400.91985	4.056939893
137	2019-01-15Total16SHostDNADepletion	21	B9	80-Molz-2.B2	Total16S	Undetermined						1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	80	Molz	Molz.Bacteria	2	B2		1000	100	10			
138	2019-01-15Total16SHostDNADepletion	22	B10	80-Molz-2.B2	Total16S	Undetermined						1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	80	Molz	Molz.Bacteria	2	B2		1000	100	10			
139	2019-01-15Total16SHostDNADepletion	33	C9	81-Molz-3.B2	Total16S	Undetermined						1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	81	Molz	Molz.Bacteria	3	B2		1000	100	10			
140	2019-01-15Total16SHostDNADepletion	34	C10	81-Molz-3.B2	Total16S	Undetermined						1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	81	Molz	Molz.Bacteria	3	B2		1000	100	10			
141	2019-01-15Total16SHostDNADepletion	45	D9	82-Molz-4.B3	Total16S	32.965	34.172	1.707			32.965	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	82	Molz	Molz.Bacteria	4	B3	3.151651404	1000	100	10	708.9594704	70895.94704	4.850621408
142	2019-01-15Total16SHostDNADepletion	46	D10	82-Molz-4.B3	Total16S	35.379	34.172	1.707			35.379	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	82	Molz	Molz.Bacteria	4	B3	2.662906019	1000	100	10	230.0784924	23007.84924	4.361876023
143	2019-01-15Total16SHostDNADepletion	95	H11	99-NEBdiluent	Total16S	Undetermined						1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	99	NEBdiluent	NEBdiluent.Bacteria	Standard	Standard							
144	2019-01-15Total16SHostDNADepletion	96	H12	99-NEBdiluent	Total16S	Undetermined						1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	99	NEBdiluent	NEBdiluent.Bacteria	Standard	Standard							
