Assay	Well	Well.Position	Omit	Sample.Name	Target.Name	LogCopiesmLmilk	Sample	Wash	PMA	ConcentrationCAT	Conc.Target	Replicate	Bio	Regression	Reporter	Quencher	CT	Ct.Mean	Ct.SD	RegressionF	CalcCopyN	.InputSampleVolume(uL).	ElutionVolume(uL)	MilkEquiv(MuLuL)	BacktransfCopyN	CopiesuLDNA	CopiesmLmilk	caclLogCopiesmLmilk
BovineFull	57	E9	FALSE	35-20uM-2.B2	BovineUXT	3.781990293	35	Yes	20	20uM	20uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.57539749	34.3441925	0.326970518	1.68508028	1.68508028	400	100	4	48.42618757	24.21309378	6053.273446	3.781990293
BovineFull	58	E10	FALSE	35-20uM-2.B2	BovineUXT	3.915470121	35	Yes	20	20uM	20uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.11299133	34.3441925	0.326970518	1.818560108	1.818560108	400	100	4	65.85065628	32.92532814	8231.332035	3.915470121
Total16Sfull	57	E9	FALSE	35-20uM-2.B2	Total16S	4.170977447	35	Yes	20	20uM	20uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.20183182	33.23627472	0.048712317	2.074067434	2.074067434	400	100	4	118.5952879	59.29764395	14824.41099	4.170977447
Total16Sfull	58	E10	FALSE	35-20uM-2.B2	Total16S	4.154718975	35	Yes	20	20uM	20uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.27072144	33.23627472	0.048712317	2.057808962	2.057808962	400	100	4	114.2375714	57.11878572	14279.69643	4.154718975
BovineFull	23	B11	FALSE	40-20uM-3.B2	BovineUXT	4.099349135	40	Yes	20	20uM	20uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.4759903	33.27828217	0.279598832	2.002439122	2.002439122	400	100	4	100.5632087	50.28160436	12570.40109	4.099349135
BovineFull	24	B12	FALSE	40-20uM-3.B2	BovineUXT	4.213490316	40	Yes	20	20uM	20uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.08057785	33.27828217	0.279598832	2.116580303	2.116580303	400	100	4	130.7917357	65.39586785	16348.96696	4.213490316
Total16Sfull	23	B11	FALSE	40-20uM-3.B2	Total16S	4.204455908	40	Yes	20	20uM	20uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.05997849	32.98963928	0.099471956	2.107545895	2.107545895	400	100	4	128.0990459	64.04952294	16012.38074	4.204455908
Total16Sfull	24	B12	FALSE	40-20uM-3.B2	Total16S	4.237656177	40	Yes	20	20uM	20uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.91930389	32.98963928	0.099471956	2.140746164	2.140746164	400	100	4	138.2757951	69.13789755	17284.47439	4.237656177
BovineHalf	15	B3	FALSE	51-20uM-1.B3	BovineUXT	3.596070821	51	Yes	20	20uM	20uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.21946716	35.29284668	0.103771612	1.499160808	1.499160808	400	100	4	31.56173055	15.78086527	3945.216319	3.596070821
BovineHalf	16	B4	FALSE	51-20uM-1.B3	BovineUXT	3.553707931	51	Yes	20	20uM	20uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.36622238	35.29284668	0.103771612	1.456797918	1.456797918	400	100	4	28.62845544	14.31422772	3578.556931	3.553707931
Total16Shalf	15	B3	FALSE	51-20uM-1.B3	Total16S	4.377512886	51	Yes	20	20uM	20uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.32670975	32.30239868	0.034383737	2.280602873	2.280602873	400	100	4	190.8107651	95.40538257	23851.34564	4.377512886
Total16Shalf	16	B4	FALSE	51-20uM-1.B3	Total16S	4.388988978	51	Yes	20	20uM	20uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.2780838	32.30239868	0.034383737	2.292078965	2.292078965	400	100	4	195.9200869	97.96004344	24490.01086	4.388988978
BovineHalf	75	G3	FALSE	56-20uM-2.B3	BovineUXT	3.30570702	56	Yes	20	20uM	20uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	36.22535706	35.98851776	0.334941328	1.208797007	1.208797007	400	100	4	16.17323911	8.086619553	2021.654888	3.30570702
BovineHalf	76	G4	FALSE	56-20uM-2.B3	BovineUXT	3.442440788	56	Yes	20	20uM	20uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.75167847	35.98851776	0.334941328	1.345530775	1.345530775	400	100	4	22.15801109	11.07900554	2769.751386	3.442440788
Total16Shalf	75	G3	FALSE	56-20uM-2.B3	Total16S	4.33091619	56	Yes	20	20uM	20uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.52414703	32.67008972	0.206391424	2.234006177	2.234006177	400	100	4	171.3981687	85.69908436	21424.77109	4.33091619
Total16Shalf	76	G4	FALSE	56-20uM-2.B3	Total16S	4.26202993	56	Yes	20	20uM	20uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.81602859	32.67008972	0.206391424	2.165119917	2.165119917	400	100	4	146.2580967	73.12904834	18282.26209	4.26202993
BovineHalf	41	D5	FALSE	61-20uM-3.B3	BovineUXT	3.637027524	61	Yes	20	20uM	20uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.07758331	35.15171814	0.104842477	1.540117511	1.540117511	400	100	4	34.6830683	17.34153415	4335.383538	3.637027524
BovineHalf	42	D6	FALSE	61-20uM-3.B3	BovineUXT	3.594227472	61	Yes	20	20uM	20uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.22585297	35.15171814	0.104842477	1.497317459	1.497317459	400	100	4	31.4280517	15.71402585	3928.506462	3.594227472
Total16Shalf	41	D5	FALSE	61-20uM-3.B3	Total16S	4.324757256	61	Yes	20	20uM	20uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.55024338	32.51074219	0.05586312	2.227847243	2.227847243	400	100	4	168.9846446	84.49232228	21123.08057	4.324757256
Total16Shalf	42	D6	FALSE	61-20uM-3.B3	Total16S	4.343402416	61	Yes	20	20uM	20uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.471241	32.51074219	0.05586312	2.246492403	2.246492403	400	100	4	176.3974907	88.19874536	22049.68634	4.343402416
BovineFull	63	F3	FALSE	9-20uM-1.B1	BovineUXT	3.856945443	9	Yes	20	20uM	20uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.31573486	34.58701324	0.383642882	1.76003543	1.76003543	400	100	4	57.54868835	28.77434417	7193.586044	3.856945443
BovineFull	64	F4	FALSE	9-20uM-1.B1	BovineUXT	3.700330154	9	Yes	20	20uM	20uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.85828781	34.58701324	0.383642882	1.603420141	1.603420141	400	100	4	40.12547078	20.06273539	5015.683847	3.700330154
Total16Sfull	63	F3	FALSE	9-20uM-1.B1	Total16S	4.198183536	9	Yes	20	20uM	20uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.08655548	33.44248199	0.503356099	2.101273523	2.101273523	400	100	4	126.2622495	63.13112477	15782.78119	4.198183536
Total16Sfull	64	F4	FALSE	9-20uM-1.B1	Total16S	4.030180828	9	Yes	20	20uM	20uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.79840851	33.44248199	0.503356099	1.933270815	1.933270815	400	100	4	85.7572438	42.8786219	10719.65548	4.030180828
BovineFull	75	G3	FALSE	10-40uM-1.B1	BovineUXT	3.745527441	10	Yes	40	40uM	40uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.70171356	34.8695755	0.237395331	1.648617428	1.648617428	400	100	4	44.52638404	22.26319202	5565.798005	3.745527441
BovineFull	76	G4	FALSE	10-40uM-1.B1	BovineUXT	3.648615076	10	Yes	40	40uM	40uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.03744125	34.8695755	0.237395331	1.551705063	1.551705063	400	100	4	35.62091431	17.81045716	4452.614289	3.648615076
Total16Sfull	75	G3	FALSE	10-40uM-1.B1	Total16S	4.244512843	10	Yes	40	40uM	40uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.89025116	32.90335083	0.018525731	2.14760283	2.14760283	400	100	4	140.4762256	70.2381128	17559.5282	4.244512843
Total16Sfull	76	G4	FALSE	10-40uM-1.B1	Total16S	4.2383296	10	Yes	40	40uM	40uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.9164505	32.90335083	0.018525731	2.141419587	2.141419587	400	100	4	138.4903736	69.2451868	17311.2967	4.2383296
BovineFull	41	D5	FALSE	15-40uM-2.B1	BovineUXT	3.819802071	15	Yes	40	40uM	40uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.44440842	34.19982147	0.345900863	1.722892058	1.722892058	400	100	4	52.83139254	26.41569627	6603.924068	3.819802071
BovineFull	42	D6	FALSE	15-40uM-2.B1	BovineUXT	3.96100987	15	Yes	40	40uM	40uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.95523071	34.19982147	0.345900863	1.864099857	1.864099857	400	100	4	73.13072123	36.56536062	9141.340154	3.96100987
Total16Sfull	41	D5	FALSE	15-40uM-2.B1	Total16S	4.111021237	15	Yes	40	40uM	40uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.4558754	33.4858284	0.042359944	2.014111224	2.014111224	400	100	4	103.3025933	51.65129666	12912.82416	4.111021237
Total16Sfull	42	D6	FALSE	15-40uM-2.B1	Total16S	4.096882966	15	Yes	40	40uM	40uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.5157814	33.4858284	0.042359944	1.999972953	1.999972953	400	100	4	99.99377237	49.99688619	12499.22155	4.096882966
BovineFull	7	A7	FALSE	20-40uM-3.B1	BovineUXT	3.47159191	20	Yes	40	40uM	40uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.65069199	35.48948669	0.227978706	1.374681897	1.374681897	400	100	4	23.69637406	11.84818703	2962.046757	3.47159191
BovineFull	8	A8	FALSE	20-40uM-3.B1	BovineUXT	3.56466011	20	Yes	40	40uM	40uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.3282814	35.48948669	0.227978706	1.467750097	1.467750097	400	100	4	29.3595975	14.67979875	3669.949687	3.56466011
Total16Sfull	7	A7	FALSE	20-40uM-3.B1	Total16S	4.105223322	20	Yes	40	40uM	40uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.48044205	33.88452911	0.571462691	2.008313309	2.008313309	400	100	4	101.9326485	50.96632425	12741.58106	4.105223322
Total16Sfull	8	A8	FALSE	20-40uM-3.B1	Total16S	3.914489003	20	Yes	40	40uM	40uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	34.28861237	33.88452911	0.571462691	1.81757899	1.81757899	400	100	4	65.70206053	32.85103026	8212.757566	3.914489003
BovineFull	9	A9	FALSE	31-40uM-1.B2	BovineUXT	4.143238239	31	Yes	40	40uM	40uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.32394791	33.29732132	0.037655681	2.046328226	2.046328226	400	100	4	111.2572256	55.62861282	13907.1532	4.143238239
BovineFull	10	A10	FALSE	31-40uM-1.B2	BovineUXT	4.158610492	31	Yes	40	40uM	40uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.27069473	33.29732132	0.037655681	2.061700479	2.061700479	400	100	4	115.2658027	57.63290135	14408.22534	4.158610492
Total16Sfull	9	A9	FALSE	31-40uM-1.B2	Total16S	4.211296368	31	Yes	40	40uM	40uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.03099442	33.11711884	0.121801019	2.114386355	2.114386355	400	100	4	130.1326744	65.06633718	16266.5843	4.211296368
Total16Sfull	10	A10	FALSE	31-40uM-1.B2	Total16S	4.170643436	31	Yes	40	40uM	40uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.20324707	33.11711884	0.121801019	2.073733423	2.073733423	400	100	4	118.5041128	59.25205642	14813.01411	4.170643436
BovineFull	69	F9	FALSE	36-40uM-2.B2	BovineUXT	3.739939032	36	Yes	40	40uM	40uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.72107315	34.51764297	0.287693709	1.643029019	1.643029019	400	100	4	43.95709862	21.97854931	5494.637327	3.739939032
BovineFull	70	F10	FALSE	36-40uM-2.B2	BovineUXT	3.857384807	36	Yes	40	40uM	40uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.3142128	34.51764297	0.287693709	1.760474794	1.760474794	400	100	4	57.60693833	28.80346917	7200.867292	3.857384807
Total16Sfull	69	F9	FALSE	36-40uM-2.B2	Total16S	3.655332078	36	Yes	40	40uM	40uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	35.38669968	34.9857254	0.567065954	1.558422065	1.558422065	400	100	4	36.17612658	18.08806329	4522.015822	3.655332078
Total16Sfull	70	F10	FALSE	36-40uM-2.B2	Total16S	3.844598911	36	Yes	40	40uM	40uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	34.58474731	34.9857254	0.567065954	1.747688898	1.747688898	400	100	4	55.93567694	27.96783847	6991.959617	3.844598911
BovineFull	35	C11	FALSE	41-40uM-3.B2	BovineUXT	4.007325939	41	Yes	40	40uM	40uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.79478073	33.79277802	0.002832268	1.910415926	1.910415926	400	100	4	81.36093416	40.68046708	10170.11677	4.007325939
BovineFull	36	C12	FALSE	41-40uM-3.B2	BovineUXT	4.008482162	41	Yes	40	40uM	40uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.7907753	33.79277802	0.002832268	1.911572149	1.911572149	400	100	4	81.57783002	40.78891501	10197.22875	4.008482162
Total16Sfull	35	C11	FALSE	41-40uM-3.B2	Total16S	3.883465653	41	Yes	40	40uM	40uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	34.42006302	34.25033951	0.240025297	1.78655564	1.78655564	400	100	4	61.17241693	30.58620846	7646.552116	3.883465653
Total16Sfull	36	C12	FALSE	41-40uM-3.B2	Total16S	3.963577722	41	Yes	40	40uM	40uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	34.080616	34.25033951	0.240025297	1.866667709	1.866667709	400	100	4	73.56440198	36.78220099	9195.550248	3.963577722
BovineHalf	27	C3	FALSE	52-40uM-1.B3	BovineUXT	3.710575386	52	Yes	40	40uM	40uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.82279587	35.13369751	0.439678609	1.613665373	1.613665373	400	100	4	41.08330494	20.54165247	5135.413118	3.710575386
BovineHalf	28	C4	FALSE	52-40uM-1.B3	BovineUXT	3.531084511	52	Yes	40	40uM	40uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.44459534	35.13369751	0.439678609	1.434174498	1.434174498	400	100	4	27.17530944	13.58765472	3396.91368	3.531084511
Total16Shalf	27	C3	FALSE	52-40uM-1.B3	Total16S	4.254570966	52	Yes	40	40uM	40uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.84763336	33.09900665	0.355498224	2.157660953	2.157660953	400	100	4	143.7675769	71.88378844	17970.94711	4.254570966
Total16Shalf	28	C4	FALSE	52-40uM-1.B3	Total16S	4.135918063	52	Yes	40	40uM	40uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	33.35038376	33.09900665	0.355498224	2.03900805	2.03900805	400	100	4	109.3976644	54.69883221	13674.70805	4.135918063
BovineHalf	87	H3	FALSE	57-40uM-2.B3	BovineUXT	3.522151867	57	Yes	40	40uM	40uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.47554016	35.39889526	0.108392254	1.425241854	1.425241854	400	100	4	26.622072	13.311036	3327.758999	3.522151867
BovineHalf	88	H4	FALSE	57-40uM-2.B3	BovineUXT	3.566401051	57	Yes	40	40uM	40uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.32225037	35.39889526	0.108392254	1.469491038	1.469491038	400	100	4	29.47752647	14.73876324	3684.690809	3.566401051
Total16Shalf	87	H3	FALSE	57-40uM-2.B3	Total16S	4.289105476	57	Yes	40	40uM	40uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.70130539	33.36405182	0.937267661	2.192195463	2.192195463	400	100	4	155.6666084	77.83330419	19458.32605	4.289105476
Total16Shalf	88	H4	FALSE	57-40uM-2.B3	Total16S	3.976278218	57	Yes	40	40uM	40uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	34.02680206	33.36405182	0.937267661	1.879368205	1.879368205	400	100	4	75.74748279	37.8737414	9468.435349	3.976278218
BovineHalf	53	E5	FALSE	62-40uM-3.B3	BovineUXT	3.329032983	62	Yes	40	40uM	40uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	36.14455032	35.90885162	0.333330989	1.23212297	1.23212297	400	100	4	17.06565532	8.532827658	2133.206914	3.329032983
BovineHalf	54	E6	FALSE	62-40uM-3.B3	BovineUXT	3.465109356	62	Yes	40	40uM	40uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.67314911	35.90885162	0.333330989	1.368199343	1.368199343	400	100	4	23.34529374	11.67264687	2918.161717	3.465109356
Total16Shalf	53	E5	FALSE	62-40uM-3.B3	Total16S	4.013838628	62	Yes	40	40uM	40uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	33.86765289	33.9585762	0.128584981	1.916928615	1.916928615	400	100	4	82.5902185	41.29510925	10323.77731	4.013838628
Total16Shalf	54	E6	FALSE	62-40uM-3.B3	Total16S	3.970921448	62	Yes	40	40uM	40uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	34.04949951	33.9585762	0.128584981	1.874011435	1.874011435	400	100	4	74.81892005	37.40946003	9352.365007	3.970921448
BovineFull	87	H3	FALSE	11-50uM-1.B1	BovineUXT	3.415757376	11	Yes	50	50uM	50uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.84411621	35.44026184	0.571133614	1.318847363	1.318847363	400	100	4	20.83758398	10.41879199	2604.697997	3.415757376
BovineFull	88	H4	FALSE	11-50uM-1.B1	BovineUXT	3.64891239	11	Yes	50	50uM	50uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.03641129	35.44026184	0.571133614	1.552002377	1.552002377	400	100	4	35.64530844	17.82265422	4455.663555	3.64891239
Total16Sfull	87	H3	FALSE	11-50uM-1.B1	Total16S	3.660469175	11	Yes	50	50uM	50uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	35.36493301	35.21714783	0.208997115	1.563559162	1.563559162	400	100	4	36.60658045	18.30329023	4575.822557	3.660469175
Total16Sfull	88	H4	FALSE	11-50uM-1.B1	Total16S	3.730225122	11	Yes	50	50uM	50uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	35.06936646	35.21714783	0.208997115	1.633315109	1.633315109	400	100	4	42.98481968	21.49240984	5373.10246	3.730225122
BovineFull	53	E5	FALSE	16-50uM-2.B1	BovineUXT	3.695007126	16	Yes	50	50uM	50uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.87672806	35.12138367	0.345995277	1.598097113	1.598097113	400	100	4	39.63666561	19.81833281	4954.583201	3.695007126
BovineFull	54	E6	FALSE	16-50uM-2.B1	BovineUXT	3.553760787	16	Yes	50	50uM	50uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.36603928	35.12138367	0.345995277	1.456850774	1.456850774	400	100	4	28.63193989	14.31596994	3578.992486	3.553760787
Total16Sfull	53	E5	FALSE	16-50uM-2.B1	Total16S	4.1236209	16	Yes	50	50uM	50uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.40248871	33.79386139	0.553484559	2.026710887	2.026710887	400	100	4	106.3434847	53.17174233	13292.93558	4.1236209
Total16Sfull	54	E6	FALSE	16-50uM-2.B1	Total16S	3.938887064	16	Yes	50	50uM	50uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	34.18523407	33.79386139	0.553484559	1.841977051	1.841977051	400	100	4	69.49875922	34.74937961	8687.344903	3.938887064
BovineFull	19	B7	FALSE	21-50uM-3.B1	BovineUXT	2.722174754	21	Yes	50	50uM	50uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	38.24685287	37.88630295	0.509894609	0.625264741	0.625264741	400	100	4	4.219536429	2.109768214	527.4420536	2.722174754
BovineFull	20	B8	FALSE	21-50uM-3.B1	BovineUXT	2.930330036	21	Yes	50	50uM	50uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	37.52575302	37.88630295	0.509894609	0.833420023	0.833420023	400	100	4	6.814280748	3.407140374	851.7850935	2.930330036
Total16Sfull	19	B7	FALSE	21-50uM-3.B1	Total16S	3.627606517	21	Yes	50	50uM	50uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	35.50417709	36.16875458	0.939854503	1.530696504	1.530696504	400	100	4	33.93880168	16.96940084	4242.35021	3.627606517
Total16Sfull	20	B8	FALSE	21-50uM-3.B1	Total16S	3.313915874	21	Yes	50	50uM	50uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	36.83333206	36.16875458	0.939854503	1.217005861	1.217005861	400	100	4	16.48184633	8.240923166	2060.230791	3.313915874
BovineFull	21	B9	FALSE	32-50uM-1.B2	BovineUXT	3.844140003	32	Yes	50	50uM	50uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.36009598	34.28955078	0.099768668	1.74722999	1.74722999	400	100	4	55.87660236	27.93830118	6984.575295	3.844140003
BovineFull	22	B10	FALSE	32-50uM-1.B2	BovineUXT	3.884868766	32	Yes	50	50uM	50uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.21900177	34.28955078	0.099768668	1.787958753	1.787958753	400	100	4	61.37037158	30.68518579	7671.296448	3.884868766
Total16Sfull	21	B9	FALSE	32-50uM-1.B2	Total16S	4.318205791	32	Yes	50	50uM	50uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.57800293	32.49742126	0.113959685	2.221295778	2.221295778	400	100	4	166.454591	83.2272955	20806.82387	4.318205791
Total16Sfull	22	B10	FALSE	32-50uM-1.B2	Total16S	4.356241558	32	Yes	50	50uM	50uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.4168396	32.49742126	0.113959685	2.259331545	2.259331545	400	100	4	181.6902176	90.84510878	22711.2772	4.356241558
BovineFull	81	G9	FALSE	37-50uM-2.B2	BovineUXT	3.684744275	37	Yes	50	50uM	50uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.91228104	34.90487289	0.010476695	1.587834262	1.587834262	400	100	4	38.71098855	19.35549428	4838.873569	3.684744275
BovineFull	82	G10	FALSE	37-50uM-2.B2	BovineUXT	3.689021197	37	Yes	50	50uM	50uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.89746475	34.90487289	0.010476695	1.592111184	1.592111184	400	100	4	39.0940968	19.5470484	4886.762099	3.689021197
Total16Sfull	81	G9	FALSE	37-50uM-2.B2	Total16S	3.593435727	37	Yes	50	50uM	50uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	35.64896393	35.31490326	0.472430438	1.496525714	1.496525714	400	100	4	31.37080867	15.68540434	3921.351084	3.593435727
Total16Sfull	82	G10	FALSE	37-50uM-2.B2	Total16S	3.751116525	37	Yes	50	50uM	50uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	34.98084641	35.31490326	0.472430438	1.654206512	1.654206512	400	100	4	45.10311237	22.55155619	5637.889047	3.751116525
BovineFull	47	D11	FALSE	42-50uM-3.B2	BovineUXT	3.708913729	42	Yes	50	50uM	50uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.82855225	34.71737671	0.157228649	1.612003716	1.612003716	400	100	4	40.92641618	20.46320809	5115.802022	3.708913729
BovineFull	48	D12	FALSE	42-50uM-3.B2	BovineUXT	3.773099493	42	Yes	50	50uM	50uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.60619736	34.71737671	0.157228649	1.67618948	1.67618948	400	100	4	47.44489388	23.72244694	5930.611735	3.773099493
Total16Sfull	47	D11	FALSE	42-50uM-3.B2	Total16S	3.950003037	42	Yes	50	50uM	50uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	34.138134	33.90311432	0.332365334	1.853093024	1.853093024	400	100	4	71.30057362	35.65028681	8912.571702	3.950003037
Total16Sfull	48	D12	FALSE	42-50uM-3.B2	Total16S	4.060934989	42	Yes	50	50uM	50uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.66809845	33.90311432	0.332365334	1.964024976	1.964024976	400	100	4	92.05025071	46.02512536	11506.28134	4.060934989
BovineHalf	39	D3	FALSE	53-50uM-1.B3	BovineUXT	3.403597219	53	Yes	50	50uM	50uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.88624191	36.05115509	0.233219758	1.306687206	1.306687206	400	100	4	20.26222839	10.13111419	2532.778548	3.403597219
