DataLine	qPCRFile	Assay	DatePerformed	LabNotebook	HighestSTD	qPCRefficiency	rsquare	slope	STDequation	Well	WellPosition	PeakCheck	SampleName	TargetName	CT	CT_checked	SampID	BioRep	MilkType	FrozenGlycerol	Buffer	Enzyme	PMA	LightSource	DNAextrNotes	Formula	LogCopyNRXN	BackTransfRXN	InputSampleVolume.uL.	ElutionVolume.uL.	MilkEquivalentDNAuL	CopiesperuLDNA	CopiespermLofMilk	LogCopiespermLofMilk
160	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	14	B2	IncorrectPeak	Sample 10	Listeria-rpoB	Undetermined		10	B1	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
161	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	26	C2	IncorrectPeak	Sample 11	Listeria-rpoB	39.207		11	B1	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
162	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	38	D2	IncorrectPeak	Sample 12	Listeria-rpoB	Undetermined		12	B1	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
187	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	53	E5	IncorrectPeak	Sample 37	Listeria-rpoB	37.079		37	B2	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
188	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	65	F5	IncorrectPeak	Sample 38	Listeria-rpoB	38.473		38	B2	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
189	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	77	G5	IncorrectPeak	Sample 39	Listeria-rpoB	35.646		39	B2	NotSpiked	No	No	No	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
190	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	89	H5	IncorrectPeak	Sample 40	Listeria-rpoB	36.969		40	B2	NotSpiked	No	No	No	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
191	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	6	A6	IncorrectPeak	Sample 41	Listeria-rpoB	Undetermined		41	B2	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
192	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	18	B6	IncorrectPeak	Sample 42	Listeria-rpoB	Undetermined		42	B2	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
193	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	30	C6	IncorrectPeak	Sample 43	Listeria-rpoB	Undetermined		43	B2	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
194	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	42	D6	IncorrectPeak	Sample 44	Listeria-rpoB	Undetermined		44	B2	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
195	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	54	E6	IncorrectPeak	Sample 45	Listeria-rpoB	Undetermined		45	B2	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
196	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	66	F6	IncorrectPeak	Sample 46	Listeria-rpoB	Undetermined		46	B2	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
197	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	78	G6	IncorrectPeak	Sample 47	Listeria-rpoB	Undetermined		47	B2	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
198	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	90	H6	IncorrectPeak	Sample 48	Listeria-rpoB	Undetermined		48	B2	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
226	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	1	A1	IncorrectPeak	Sample 1	Salmonella-rpoB	38.078		1	B1	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
227	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	13	B1	IncorrectPeak	Sample 2	Salmonella-rpoB	38.855		2	B1	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
228	2019-03-06Salmonella-rpoB	Salmonella-rpoB	43530	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	25	C1	IncorrectPeak	Sample 3	Salmonella-rpoB	36.74		3	B1	NotSpiked	No	No	No	No	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
229	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	37	D1	IncorrectPeak	Sample 4	Salmonella-rpoB	37.685		4	B1	NotSpiked	No	No	No	No	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
230	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	49	E1	IncorrectPeak	Sample 5	Salmonella-rpoB	Undetermined		5	B1	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
231	2019-03-06Salmonella-rpoB	Salmonella-rpoB	43531	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	61	F1	IncorrectPeak	Sample 6	Salmonella-rpoB	Undetermined		6	B1	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
232	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	73	G1	IncorrectPeak	Sample 7	Salmonella-rpoB	Undetermined		7	B1	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
233	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	85	H1	IncorrectPeak	Sample 8	Salmonella-rpoB	39.937		8	B1	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
234	2019-03-06Salmonella-rpoB	Salmonella-rpoB	43532	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	2	A2	IncorrectPeak	Sample 9	Salmonella-rpoB	Undetermined		9	B1	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
235	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	14	B2	IncorrectPeak	Sample 10	Salmonella-rpoB	Undetermined		10	B1	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
236	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	26	C2	IncorrectPeak	Sample 11	Salmonella-rpoB	Undetermined		11	B1	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
237	2019-03-06Salmonella-rpoB	Salmonella-rpoB	43533	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	38	D2	IncorrectPeak	Sample 12	Salmonella-rpoB	Undetermined		12	B1	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
262	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	53	E5	IncorrectPeak	Sample 37	Salmonella-rpoB	39.59		37	B2	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
263	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	65	F5	Correct	Sample 38	Salmonella-rpoB	37.483	37.483	38	B2	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies	1.291869356	19.58255503	200	90	2.222222222	9.791277515	4406.074882	3.644051874
264	2019-03-06Salmonella-rpoB	Salmonella-rpoB	43542	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	77	G5	IncorrectPeak	Sample 39	Salmonella-rpoB	38.373		39	B2	NotSpiked	No	No	No	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
265	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	89	H5	IncorrectPeak	Sample 40	Salmonella-rpoB	38.946		40	B2	NotSpiked	No	No	No	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
266	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	6	A6	IncorrectPeak	Sample 41	Salmonella-rpoB	Undetermined		41	B2	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
267	2019-03-06Salmonella-rpoB	Salmonella-rpoB	43543	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	18	B6	IncorrectPeak	Sample 42	Salmonella-rpoB	Undetermined		42	B2	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
268	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	30	C6	IncorrectPeak	Sample 43	Salmonella-rpoB	Undetermined		43	B2	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
269	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	42	D6	IncorrectPeak	Sample 44	Salmonella-rpoB	38.118		44	B2	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
270	2019-03-06Salmonella-rpoB	Salmonella-rpoB	43544	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	54	E6	IncorrectPeak	Sample 45	Salmonella-rpoB	Undetermined		45	B2	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
271	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	66	F6	IncorrectPeak	Sample 46	Salmonella-rpoB	Undetermined		46	B2	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
272	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	78	G6	IncorrectPeak	Sample 47	Salmonella-rpoB	Undetermined		47	B2	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
273	2019-03-06Salmonella-rpoB	Salmonella-rpoB	43545	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	90	H6	IncorrectPeak	Sample 48	Salmonella-rpoB	Undetermined		48	B2	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
13	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	50	E2	NA	Sample 13	BovineUXT	33.256	33.256	13	B1	Spiked	No	Yes	No	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	2.357591067	227.8195906	200	90	2.222222222	113.9097953	51259.40789	4.709773585
14	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	62	F2	NA	Sample 14	BovineUXT	33.42	33.42	14	B1	Spiked	No	Yes	No	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	2.316027718	207.0273474	200	90	2.222222222	103.5136737	46581.15317	4.668210236
15	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	74	G2	NA	Sample 15	BovineUXT	32.029	32.029	15	B1	Spiked	No	Yes	No	No	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	2.66709687	464.6188972	200	90	2.222222222	232.3094486	104539.2519	5.019279388
16	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	86	H2	NA	Sample 16	BovineUXT	31.968	31.968	16	B1	Spiked	No	Yes	No	No	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	2.682597915	481.5018005	200	90	2.222222222	240.7509003	108337.9051	5.034780434
17	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	3	A3	NA	Sample 17	BovineUXT	Undetermined		17	B1	Spiked	No	Yes	1x	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
18	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	15	B3	NA	Sample 18	BovineUXT	39.077	39.077	18	B1	Spiked	No	Yes	1x	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	0.888372688	7.733439428	200	90	2.222222222	3.866719714	1740.023871	3.240555206
19	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	27	C3	NA	Sample 19	BovineUXT	Undetermined		19	B1	Spiked	No	Yes	1x	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
20	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	39	D3	NA	Sample 20	BovineUXT	Undetermined		20	B1	Spiked	No	Yes	1x	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
21	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	51	E3	NA	Sample 21	BovineUXT	Undetermined		21	B1	Spiked	No	Yes	10X	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
22	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	63	F3	NA	Sample 22	BovineUXT	Undetermined		22	B1	Spiked	No	Yes	10X	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
23	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	75	G3	NA	Sample 23	BovineUXT	Undetermined		23	B1	Spiked	No	Yes	10X	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
24	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	87	H3	NA	Sample 24	BovineUXT	Undetermined		24	B1	Spiked	No	Yes	10X	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
49	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	7	A7	NA	Sample 49	BovineUXT	32.331	32.331	49	B2	Spiked	No	Yes	No	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	2.590944895	389.8925127	200	90	2.222222222	194.9462563	87725.81536	4.943127413
50	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	19	B7	NA	Sample 50	BovineUXT	32.911	32.911	50	B2	Spiked	No	Yes	No	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	2.444637438	278.3796201	200	90	2.222222222	139.18981	62635.41452	4.796819956
51	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	31	C7	NA	Sample 51	BovineUXT	31.747	31.747	51	B2	Spiked	No	Yes	No	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	2.738296539	547.3895969	200	90	2.222222222	273.6947985	123162.6593	5.090479058
52	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	43	D7	NA	Sample 52	BovineUXT	31.605	31.605	52	B2	Spiked	No	Yes	No	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	2.774248047	594.6316854	200	90	2.222222222	297.3158427	133792.1292	5.126430565
53	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	55	E7	NA	Sample 53	BovineUXT	37.366	37.366	53	B2	Spiked	No	Yes	1x	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	1.320157618	20.90054536	200	90	2.222222222	10.45027268	4702.622707	3.672340137
54	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	67	F7	NA	Sample 54	BovineUXT	38.125	38.125	54	B2	Spiked	No	Yes	1x	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	1.128553928	13.44478706	200	90	2.222222222	6.72239353	3025.077089	3.480736446
55	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	79	G7	NA	Sample 55	BovineUXT	36.548	36.548	55	B2	Spiked	No	Yes	1x	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	1.526656254	33.62453246	200	90	2.222222222	16.81226623	7565.519804	3.878838772
56	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	91	H7	NA	Sample 56	BovineUXT	36.859	36.859	56	B2	Spiked	No	Yes	1x	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	1.448204084	28.06752281	200	90	2.222222222	14.03376141	6315.192633	3.800386602
57	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	8	A8	NA	Sample 57	BovineUXT	Undetermined		57	B2	Spiked	No	Yes	10X	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
58	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	20	B8	NA	Sample 58	BovineUXT	Undetermined		58	B2	Spiked	No	Yes	10X	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
59	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	32	C8	NA	Sample 59	BovineUXT	38.695	38.695	59	B2	Spiked	No	Yes	10X	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	0.984624655	9.652163176	200	90	2.222222222	4.826081588	2171.736715	3.336807173
60	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	44	D8	NA	Sample 60	BovineUXT	37.899	37.899	60	B2	Spiked	No	Yes	10X	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	1.185688128	15.33515353	200	90	2.222222222	7.667576766	3450.409545	3.537870647
88	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	50	E2	NA	Sample 13	Total16S	22.815	22.815	13	B1	Spiked	No	Yes	No	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	3.323698541	2107.164985	200	90	2.222222222	1053.582492	474112.1216	5.675881059
89	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	62	F2	NA	Sample 14	Total16S	23.387	23.387	14	B1	Spiked	No	Yes	No	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	3.175784436	1498.940646	200	90	2.222222222	749.4703231	337261.6454	5.527966955
90	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	74	G2	NA	Sample 15	Total16S	23.263	23.263	15	B1	Spiked	No	Yes	No	No	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	3.207869775	1613.874556	200	90	2.222222222	806.9372781	363121.7752	5.560052293
91	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	86	H2	NA	Sample 16	Total16S	23.782	23.782	16	B1	Spiked	No	Yes	No	No	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	3.07393311	1185.586129	200	90	2.222222222	592.7930646	266756.8791	5.426115628
92	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	3	A3	NA	Sample 17	Total16S	24.588	24.588	17	B1	Spiked	No	Yes	1x	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	2.865657043	733.9340601	200	90	2.222222222	366.9670301	165135.1635	5.217839561
93	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	15	B3	NA	Sample 18	Total16S	24.166	24.166	18	B1	Spiked	No	Yes	1x	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	2.974719798	943.451975	200	90	2.222222222	471.7259875	212276.6944	5.326902316
94	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	27	C3	NA	Sample 19	Total16S	24.52	24.52	19	B1	Spiked	No	Yes	1x	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	2.883272223	764.3147189	200	90	2.222222222	382.1573594	171970.8118	5.235454741
95	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	39	D3	NA	Sample 20	Total16S	24.318	24.318	20	B1	Spiked	No	Yes	1x	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	2.93538115	861.7497182	200	90	2.222222222	430.8748591	193893.6866	5.287563668
96	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	51	E3	NA	Sample 21	Total16S	24.548	24.548	21	B1	Spiked	No	Yes	10X	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	2.875943035	751.5243124	200	90	2.222222222	375.7621562	169092.9703	5.228125553
