"DataLine"	"qPCRFile"	"Assay"	"DatePerformed"	"LabNotebook"	"HighestSTD"	"qPCRefficiency"	"rsquare"	"slope"	"STDequation"	"Well"	"WellPosition"	"PeakCheck"	"SampleName"	"TargetName"	"CT"	"CT_checked"	"SampID"	"BioRep"	"MilkType"	"FrozenGlycerol"	"Buffer"	"Enzyme"	"PMA"	"LightSource"	"DNAextrNotes"	"Formula"	"LogCopyNRXN"	"BackTransfRXN"	"InputSampleVolume.uL."	"ElutionVolume.uL."	"MilkEquivalentDNAuL"	"CopiesperuLDNA"	"CopiespermLofMilk"	"LogCopiespermLofMilk"
"56"	200	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	19	"B7"	"Correct"	"Sample 50"	"Listeria-rpoB"	"27.902"	27.902	50	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.702339963	503.8949	200	90	2.222222222	251.95	"113,376.35"	5.05
"57"	201	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	31	"C7"	"Correct"	"Sample 51"	"Listeria-rpoB"	"27.588"	27.588	51	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.780628037	603.4315834	200	90	2.222222222	301.72	"135,772.11"	5.13
"58"	202	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	43	"D7"	"Correct"	"Sample 52"	"Listeria-rpoB"	"26.737"	26.737	52	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.993539749	985.2348122	200	90	2.222222222	492.62	"221,677.83"	5.35
"59"	203	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	55	"E7"	"Correct"	"Sample 53"	"Listeria-rpoB"	"26.84"	26.84	53	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.967748408	928.4283813	200	90	2.222222222	464.21	"208,896.39"	5.32
"60"	204	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	67	"F7"	"Correct"	"Sample 54"	"Listeria-rpoB"	"27.015"	27.015	54	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.923848152	839.1665267	200	90	2.222222222	419.58	"188,812.47"	5.28
"61"	205	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	79	"G7"	"Correct"	"Sample 55"	"Listeria-rpoB"	"26.547"	26.547	55	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	3.041042334	1099.112972	200	90	2.222222222	549.56	"247,300.42"	5.39
"62"	206	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	91	"H7"	"Correct"	"Sample 56"	"Listeria-rpoB"	"26.805"	26.805	56	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.976489837	947.3050168	200	90	2.222222222	473.65	"213,143.63"	5.33
"63"	207	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	8	"A8"	"Correct"	"Sample 57"	"Listeria-rpoB"	"27.314"	27.314	57	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.84923679	706.7027635	200	90	2.222222222	353.35	"159,008.12"	5.2
"64"	208	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	20	"B8"	"Correct"	"Sample 58"	"Listeria-rpoB"	"26.8"	26.8	58	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.977741951	950.0401304	200	90	2.222222222	475.02	"213,759.03"	5.33
"65"	209	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	32	"C8"	"Correct"	"Sample 59"	"Listeria-rpoB"	"26.865"	26.865	59	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.961426332	915.0110367	200	90	2.222222222	457.51	"205,877.48"	5.31
"66"	210	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	44	"D8"	"Correct"	"Sample 60"	"Listeria-rpoB"	"26.812"	26.812	60	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.974646952	943.2937383	200	90	2.222222222	471.65	"212,241.09"	5.33
"67"	238	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	50	"E2"	"Correct"	"Sample 13"	"Salmonella-rpoB"	"26.249"	26.249	13	"B1"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.733951762	5419.40692	200	90	2.222222222	2709.70346	"1219366.557"	6.08613428
"68"	239	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	62	"F2"	"Correct"	"Sample 14"	"Salmonella-rpoB"	"26.871"	26.871	14	"B1"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.598822083	3970.28866	200	90	2.222222222	1985.14433	"893314.9487"	5.951004602
"69"	242	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3	"A3"	"Correct"	"Sample 17"	"Salmonella-rpoB"	"34.639"	34.639	17	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	1.910217748	81.32381574	200	90	2.222222222	40.66190787	"18297.85854"	4.262400266
"70"	243	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"43535"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	15	"B3"	"Correct"	"Sample 18"	"Salmonella-rpoB"	"32.825"	32.825	18	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	2.304519296	201.6133545	200	90	2.222222222	100.8066772	"45363.00476"	4.656701814
"71"	244	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	27	"C3"	"Correct"	"Sample 19"	"Salmonella-rpoB"	"32.519"	32.519	19	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	2.371068265	235.0002182	200	90	2.222222222	117.5001091	"52875.04909"	4.723250784
"72"	245	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	39	"D3"	"Correct"	"Sample 20"	"Salmonella-rpoB"	"35.473"	35.473	20	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	1.728766921	53.55091815	200	90	2.222222222	26.77545908	"12048.95659"	4.08094944
"73"	246	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"43536"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	51	"E3"	"IncorrectPeak"	"Sample 21"	"Salmonella-rpoB"	"Undetermined"	NA	21	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	NA	NA	200	90	2.222222222	NA	""	NA
"74"	247	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	63	"F3"	"IncorrectPeak"	"Sample 22"	"Salmonella-rpoB"	"Undetermined"	NA	22	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	NA	NA	200	90	2.222222222	NA	""	NA
"75"	248	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	75	"G3"	"IncorrectPeak"	"Sample 23"	"Salmonella-rpoB"	"Undetermined"	NA	23	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	NA	NA	200	90	2.222222222	NA	""	NA
"76"	249	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"43537"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	87	"H3"	"IncorrectPeak"	"Sample 24"	"Salmonella-rpoB"	"Undetermined"	NA	24	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	NA	NA	200	90	2.222222222	NA	""	NA
"77"	274	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	7	"A7"	"Correct"	"Sample 49"	"Salmonella-rpoB"	"26.471"	26.471	49	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.685812415	4850.789345	200	90	2.222222222	2425.394672	"1091427.603"	6.037994933
"78"	275	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	19	"B7"	"Correct"	"Sample 50"	"Salmonella-rpoB"	"26.505"	26.505	50	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.678331471	4767.94757	200	90	2.222222222	2383.973785	"1072788.203"	6.030513989
"79"	276	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"43546"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	31	"C7"	"Correct"	"Sample 51"	"Salmonella-rpoB"	"26.659"	26.659	51	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.644931765	4415.010744	200	90	2.222222222	2207.505372	"993377.4175"	5.997114283
"80"	277	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	43	"D7"	"Correct"	"Sample 52"	"Salmonella-rpoB"	"25.565"	25.565	52	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.882686209	7632.840883	200	90	2.222222222	3816.420441	"1717389.199"	6.234868727
"81"	278	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	55	"E7"	"Correct"	"Sample 53"	"Salmonella-rpoB"	"28.895"	28.895	53	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.158825909	1441.537383	200	90	2.222222222	720.7686913	"324345.9111"	5.511008427
"82"	279	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"43547"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	67	"F7"	"Correct"	"Sample 54"	"Salmonella-rpoB"	"28.98"	28.98	54	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.140259137	1381.208166	200	90	2.222222222	690.6040828	"310771.8373"	5.492441655
"83"	280	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	79	"G7"	"Correct"	"Sample 55"	"Salmonella-rpoB"	"28.073"	28.073	55	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.337586548	2175.637561	200	90	2.222222222	1087.81878	"489518.4512"	5.689769066
"84"	281	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	91	"H7"	"Correct"	"Sample 56"	"Salmonella-rpoB"	"28.268"	28.268	56	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	3.295021213	1972.519083	200	90	2.222222222	986.2595416	"443816.7938"	5.647203732
"85"	282	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"43548"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	8	"A8"	"Correct"	"Sample 57"	"Salmonella-rpoB"	"30.828"	30.828	57	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	2.738622599	547.8007203	200	90	2.222222222	273.9003602	"123255.1621"	5.090805117
"86"	283	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	20	"B8"	"Correct"	"Sample 58"	"Salmonella-rpoB"	"30.67"	30.67	58	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	2.773029882	592.9661224	200	90	2.222222222	296.4830612	"133417.3776"	5.1252124
"87"	284	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"3/6/19"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	32	"C8"	"Correct"	"Sample 59"	"Salmonella-rpoB"	"30.684"	30.684	59	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	2.769847101	588.6363823	200	90	2.222222222	294.3181911	"132443.186"	5.12202962
"88"	285	"2019-03-06Salmonella-rpoB"	"Salmonella-rpoB"	"43549"	"2p24"	6.928919542	64.96378421	0.984575	-4.600057	"CTjmp = 43.425528 - 4.6000057*LogCopies"	44	"D8"	"Correct"	"Sample 60"	"Salmonella-rpoB"	"30.04"	30.04	60	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 43.425528 - 4.6000057*LogCopies"	2.909848391	812.546812	200	90	2.222222222	406.273406	"182823.0327"	5.262030909
